Ort,Startpunkt,Datum,Uhrzeit,Breitengrad,Längengrad,Aufruf_Link,Aufruf_Link_href
Wilhelmshaven,Rambla,31.01.2025,13 Uhr,53.54,8.12,https://web.archive.org/web/20250122150301/https://omasgegenrechts-nord.de/events/wilhelmshaven-demo-gegen-die-af//,"<a href=""https://web.archive.org/web/20250122150301/https://omasgegenrechts-nord.de/events/wilhelmshaven-demo-gegen-die-af//"">Link</a>"
Harburg,Heimfelder Platz,26.01.2025,15 Uhr,53.46,9.97,https://web.archive.org/web/20250122150728/https://harburg-steht-zusammen.de/,"<a href=""https://web.archive.org/web/20250122150728/https://harburg-steht-zusammen.de/"">Link</a>"
Münster-Coerde,Hamannplatz,31.01.2025,18 Uhr,51.96,7.63,https://web.archive.org/web/20250122150943/https://coerde-ist-bunt.de/,"<a href=""https://web.archive.org/web/20250122150943/https://coerde-ist-bunt.de/"">Link</a>"
Barsinghausen,Volksbank,08.02.2025,15 Uhr,52.31,9.46,https://omasgegenrechts-nord.de/events/barsinghausen-menschen-rettungskette-fuer-die-demokratie/,"<a href=""https://omasgegenrechts-nord.de/events/barsinghausen-menschen-rettungskette-fuer-die-demokratie/"">Link</a>"
Schladen,Dorfgemeinschaftshaus,22.02.2025,18 Uhr,52.02,10.57,https://web.archive.org/web/20250122152039/https://gruene-wolfenbuettel.de/Veranstaltung/demonstration-des-buendnisses-gegen-rechtsextremismus/?instance_id=994,"<a href=""https://web.archive.org/web/20250122152039/https://gruene-wolfenbuettel.de/Veranstaltung/demonstration-des-buendnisses-gegen-rechtsextremismus/?instance_id=994"">Link</a>"
Fürth,Hauptbahnhof,08.02.2025,13 Uhr,49.51,11.0,https://web.archive.org/web/2/http://www.buendnis-fuerth.de/am-23-februar-ist-wahl-es-geht-um-unsere-zukunft/,"<a href=""https://web.archive.org/web/2/http://www.buendnis-fuerth.de/am-23-februar-ist-wahl-es-geht-um-unsere-zukunft/"">Link</a>"
Nürnberg,Kunsthaus,08.02.2025,14:30 Uhr,49.45,11.09,https://www.omasgegenrechts-nuernberg.de/termine/,"<a href=""https://www.omasgegenrechts-nuernberg.de/termine/"">Link</a>"
Neustadt a.d. Aisch,Rathaus,25.01.2025,16 Uhr,49.57,10.61,https://web.archive.org/web/20250122154411/https://www.flz.de/neuauflage-des-lichtermeers-in-neustadt-als-zeichen-fuer-die-demokratie/cnt-id-ps-f0537980-0276-4928-870f-5764e23da6dd,"<a href=""https://web.archive.org/web/20250122154411/https://www.flz.de/neuauflage-des-lichtermeers-in-neustadt-als-zeichen-fuer-die-demokratie/cnt-id-ps-f0537980-0276-4928-870f-5764e23da6dd"">Link</a>"
Essen,Willy-Brandt-Platz,22.02.2025,14 Uhr,51.46,7.01,https://web.archive.org/web/20250122154913/https://www.waz.de/lokales/essen/article408126876/demo-gegen-rechtspopulismus-vor-der-bundestagswahl-in-essen.html,"<a href=""https://web.archive.org/web/20250122154913/https://www.waz.de/lokales/essen/article408126876/demo-gegen-rechtspopulismus-vor-der-bundestagswahl-in-essen.html"">Link</a>"
München,Geschwister-Schol-Platz,08.02.2025,14 Uhr,48.14,11.57,https://web.archive.org/web/20250122155346/https://muenchen-ist-bunt.de/2025/01/demokratie-braucht-dich-kundgebung-am-08-02-2025-14-00-geschwister-scholl-platz/,"<a href=""https://web.archive.org/web/20250122155346/https://muenchen-ist-bunt.de/2025/01/demokratie-braucht-dich-kundgebung-am-08-02-2025-14-00-geschwister-scholl-platz/"">Link</a>"
Aurich,Sparkassen-Arena,31.01.2025,14:30 Uhr,53.47,7.48,"https://web.archive.org/web/20250122184832/https://www.nwzonline.de/landkreis-aurich/demonstration-in-aurich-breites-buendnis-wirbt-fuer-demokratie-und-menschenrechte_a_4,1,3788280034.html","<a href=""https://web.archive.org/web/20250122184832/https://www.nwzonline.de/landkreis-aurich/demonstration-in-aurich-breites-buendnis-wirbt-fuer-demokratie-und-menschenrechte_a_4,1,3788280034.html"">Link</a>"
Regensburg,Domplatz,02.02.2025,13 Uhr,49.02,12.1,https://www.mittelbayerische.de/lokales/stadt-regensburg/nicht-mehr-am-haidplatz-in-regensburg-neuer-standort-fuer-demo-gegen-rechts-steht-fest-17857723,"<a href=""https://www.mittelbayerische.de/lokales/stadt-regensburg/nicht-mehr-am-haidplatz-in-regensburg-neuer-standort-fuer-demo-gegen-rechts-steht-fest-17857723"">Link</a>"
Fürstenwalde,Rossmann/Eisenbahnstraße,14.02.2025,14 Uhr,52.37,14.07,https://web.archive.org/web/20250122194900/https://www.kirche-fuerstenwalde.de/dialog-und-demokratie,"<a href=""https://web.archive.org/web/20250122194900/https://www.kirche-fuerstenwalde.de/dialog-und-demokratie"">Link</a>"
Samerberg,Gasthof Maurer,22.02.2025,17:50 Uhr,47.75,12.21,https://www.instagram.com/samerberg.bleibt.bunt/,"<a href=""https://www.instagram.com/samerberg.bleibt.bunt/"">Link</a>"
Barnstorf, Bahnhofstraße/Friedrich-Plate-Straße,24.02.2025,15 Uhr,52.71,8.51,https://www.kreiszeitung.de/lokales/diepholz/barnstorf-ort49824/menschliche-lichterkette-an-der-51-ein-nachmittag-fuer-die-demokratie-geplant-93523509.html,"<a href=""https://www.kreiszeitung.de/lokales/diepholz/barnstorf-ort49824/menschliche-lichterkette-an-der-51-ein-nachmittag-fuer-die-demokratie-geplant-93523509.html"">Link</a>"
Apolda,Bahnhof,01.02.2025,ab 8 Uhr mehrere Aktionen gegen J.A.,51.03,11.53,https://web.archive.org/web/20250118082700/https://buntes-weimarer-land.de/nein-zur-ja/,"<a href=""https://web.archive.org/web/20250118082700/https://buntes-weimarer-land.de/nein-zur-ja/"">Link</a>"
